name,Q1,Q2,datetime,TE
morita_0604,78,76,2025-06-04 13:54:45,0.02901197142154155
morita_0604,88,88,2025-06-04 14:02:37,0.01110362177387425
morita_0604,100,100,2025-06-04 14:17:00,0.0072326528443551474
morita_0604,91,92,2025-06-04 14:21:32,0.006265695130492244
morita_0604,73,73,2025-06-04 14:27:08,0.020787563113010554
morita_0604,100,100,2025-06-04 14:29:32,0.027776019096989124
morita_0606,100,100,2025-06-06 13:08:35,0.05133652841649661
morita_0606,100,100,2025-06-06 13:13:12,0.012877252640876247
morita_0606,100,100,2025-06-06 13:20:54,0.015873706196920745
morita_0606,100,100,2025-06-06 13:27:17,0.024379970435097542
morita_0606,100,100,2025-06-06 13:40:37,0.024749947440140474
morita_0606,68,67,2025-06-06 13:53:08,-0.0015615070692946986
morita_0606,84,85,2025-06-06 14:00:47,0.0083523376772352
morita_0606,78,79,2025-06-06 14:02:50,0.023704435776789268
morita_0611,100,100,2025-06-11 13:07:43,0.01735025763022313
morita_0611,71,75,2025-06-11 13:11:26,0.053600851252119774
morita_0611,100,100,2025-06-11 13:18:23,0.012851161687650103
morita_0611,100,100,2025-06-11 13:27:06,0.01028906910218863
morita_0611,100,100,2025-06-11 13:42:45,0.01067236589351106
morita_0611,71,72,2025-06-11 13:49:39,0.007881371720389385
morita_0611,100,100,2025-06-11 13:54:25,0.012638890148686688
morita_0611,97,100,2025-06-11 14:01:25,0.006930384617714669
morita_0611,100,100,2025-06-11 14:03:39,0.025538624023137002
morita_0611,100,100,2025-06-11 14:05:40,0.02818319288298765
morita_0613,100,100,2025-06-13 13:08:51,0.025059870395391037
morita_0613,100,100,2025-06-13 13:11:16,0.05028321112587708
morita_0613,71,70,2025-06-13 13:17:19,0.03245072114021563
morita_0613,100,100,2025-06-13 13:22:17,0.021816881843919722
morita_0613,100,100,2025-06-13 13:27:14,0.012688184623650622
morita_0613,100,100,2025-06-13 13:39:31,0.028219323812904706
morita_0613,100,100,2025-06-13 13:46:19,0.03122414646690541
morita_0613,100,100,2025-06-13 13:52:39,0.026853748690976564
morita_0613,100,100,2025-06-13 13:59:25,0.027154916045748934
morita_0613,100,100,2025-06-13 14:01:16,0.02624601867385401
morita_0613,100,97,2025-06-13 14:03:06,0.027496450547427553
morita_0618,100,100,2025-06-18 13:02:40,0.03603071288835169
morita_0618,73,77,2025-06-18 13:05:11,0.024751722528009612
morita_0618,100,100,2025-06-18 13:10:11,0.025395011230611386
morita_0618,100,100,2025-06-18 13:15:27,0.030998621890107714
morita_0618,100,100,2025-06-18 13:20:51,0.026517767619053334
morita_0618,100,100,2025-06-18 13:36:07,0.03036335048286465
morita_0618,100,100,2025-06-18 13:41:59,0.021319400363120744
morita_0618,100,100,2025-06-18 13:47:45,0.03821260180705144
morita_0618,100,100,2025-06-18 13:49:42,0.03378905466704918
morita_0618,100,100,2025-06-18 13:51:57,0.026949933688437122
morita_0620,100,100,2025-06-20 13:17:53,0.033101322300640224
morita_0620,50,50,2025-06-20 13:20:35,0.026177788488744413
morita_0620,73,76,2025-06-20 13:21:09,0.0366201279921905
morita_0620,100,100,2025-06-20 13:26:25,0.0325738741681747
morita_0620,100,100,2025-06-20 13:31:45,0.03315243644156607
morita_0620,72,76,2025-06-20 13:37:00,0.03823176497861169
morita_0620,100,100,2025-06-20 13:50:14,0.03489935068000616
morita_0620,100,100,2025-06-20 13:55:25,0.03618893654139188
morita_0620,100,100,2025-06-20 13:57:15,0.03683142126752381
