Trial,Rating,Notes,id
1,50.0,Started at 45 bpm,20250221
2,60.0,,20250221
3,70.0,,20250221
4,60.0,,20250221
5,70.0,Started at 73 bpm,20250221
6,30.0,,20250221
7,30.0,,20250221
8,25.0,,20250221
9,40.0,Started with music,20250221
10,30.0,,20250221
11,60.0,,20250221
12,80.0,,20250221
1,,8-beat review started,20250226
2,,,20250226
3,10.0,Fill-in practice started,20250226
4,10.0,Missing data,20250226
5,20.0,,20250226
6,20.0,,20250226
7,20.0,,20250226
8,30.0,Missing data,20250226
9,30.0,Missing data,20250226
10,30.0,,20250226
11,30.0,,20250226
12,30.0,,20250226
13,30.0,,20250226
14,30.0,,20250226
15,40.0,,20250226
1,30.0,Slow fill-in (f45),20250228
2,40.0,,20250228
3,40.0,,20250228
4,30.0,Fast fill-in (f73),20250228
5,30.0,,20250228
6,40.0,Fast 8-beat (845),20250228
7,40.0,,20250228
8,40.0,Fast fill-in (f73),20250228
9,40.0,,20250228
10,30.0,,20250228
11,50.0,,20250228
12,30.0,,20250228
13,30.0,Fill-in practice,20250228
14,30.0,,20250228
15,20.0,,20250228
16,20.0,,20250228
17,20.0,,20250228
18,30.0,,20250228
1,30.0,Slow fill-in,20250305
2,30.0,Fast fill-in (no assist),20250305
3,30.0,Fast fill-in (with assist),20250305
4,40.0,Song A (assist),20250305
5,40.0,Song A (assist),20250305
6,40.0,Song A,20250305
7,40.0,Song A (assist),20250305
8,50.0,Song A (assist),20250305
9,40.0,Song A (assist),20250305
10,40.0,Song A (assist),20250305
11,40.0,Song A (assist),20250305
12,40.0,Song A (assist),20250305
13,40.0,Song A (assist),20250305
14,40.0,Song A (assist),20250305
15,50.0,Song A (assist),20250305
16,50.0,Song A (assist),20250305
17,50.0,Song A (assist),20250305
18,50.0,Song A (assist),20250305
1,30.0,Slow fill-in,20250307
2,40.0,Fast fill-in,20250307
3,40.0,Song A (assist),20250307
4,50.0,Song A,20250307
5,50.0,Song A,20250307
6,50.0,Song A,20250307
7,50.0,Song A (assist),20250307
8,50.0,Song A (assist),20250307
9,50.0,Song A (assist),20250307
10,50.0,Song A,20250307
11,50.0,Song A,20250307
12,50.0,Song A,20250307
13,50.0,Song A,20250307
14,50.0,Song A,20250307
15,50.0,Song A,20250307
16,50.0,Song A,20250307
17,50.0,Song A,20250307
18,50.0,Voyager,20250307
19,50.0,Voyager,20250307
20,50.0,Voyager,20250307
21,50.0,Voyager,20250307
1,50.0,A (with assist),20250312
2,50.0,A (with assist),20250312
3,50.0,A (with assist),20250312
4,50.0,A (with assist),20250312
5,50.0,A (with assist),20250312
6,60.0,Practice only at song start,20250312
7,60.0,A (with assist),20250312
8,60.0,A (with assist),20250312
9,60.0,A (4 times),20250312
10,60.0,A (with assist),20250312
11,60.0,A (with assist),20250312
12,60.0,A (with assist),20250312
